INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch GCC as the compiler.
   Compiling ../../../.settings/test.cpp in debug mode
   Compiling ../../../.settings/custom.cpp in debug mode
   Generating csim.exe

        SystemC 2.3.1-Accellera --- Mar  5 2018 14:23:08
        Copyright (c) 1996-2014 by all Contributors,
        ALL RIGHTS RESERVED

Info: (I804) /IEEE_Std_1666/deprecated: 
    sc_clock(const char*, double, double, double, bool)
    is deprecated use a form that includes sc_time or
Second Counter 192 ns -> Counter Value = 0
Second Counter 194 ns -> Counter Value = 1
First Counter 196 ns -> Counter Value = 1
Second Counter 196 ns -> Counter Value = 2
Second Counter 198 ns -> Counter Value = 3
First Counter 200 ns -> Counter Value = 2
Second Counter 200 ns -> Counter Value = 4
Second Counter 202 ns -> Counter Value = 5
First Counter 204 ns -> Counter Value = 3
First Counter 208 ns -> Counter Value = 4
First Counter 212 ns -> Counter Value = 5
First Counter 216 ns -> Counter Value = 6
First Counter 220 ns -> Counter Value = 7
First Counter 224 ns -> Counter Value = 8
First Counter 228 ns -> Counter Value = 9
First Counter 232 ns -> Counter Value = 10
First Counter 236 ns -> Counter Value = 11
First Counter 240 ns -> Counter Value = 12
First Counter 244 ns -> Counter Value = 13
First Counter 248 ns -> Counter Value = 14
First Counter 252 ns -> Counter Value = 15
First Counter 256 ns -> Counter Value = 0
First Counter 260 ns -> Counter Value = 1
First Counter 264 ns -> Counter Value = 2
First Counter 268 ns -> Counter Value = 3
First Counter 272 ns -> Counter Value = 4
First Counter 276 ns -> Counter Value = 5
First Counter 280 ns -> Counter Value = 6
First Counter 284 ns -> Counter Value = 7
First Counter 288 ns -> Counter Value = 8
First Counter 292 ns -> Counter Value = 9
First Counter 296 ns -> Counter Value = 10
First Counter 300 ns -> Counter Value = 11
First Counter 304 ns -> Counter Value = 12
First Counter 308 ns -> Counter Value = 13
First Counter 312 ns -> Counter Value = 14
First Counter 316 ns -> Counter Value = 15
First Counter 320 ns -> Counter Value = 0
First Counter 324 ns -> Counter Value = 1
First Counter 328 ns -> Counter Value = 2
First Counter 332 ns -> Counter Value = 3
First Counter 336 ns -> Counter Value = 4
First Counter 340 ns -> Counter Value = 5
First Counter 344 ns -> Counter Value = 6
First Counter 348 ns -> Counter Value = 7
First Counter 352 ns -> Counter Value = 8
First Counter 356 ns -> Counter Value = 9
First Counter 360 ns -> Counter Value = 10
First Counter 364 ns -> Counter Value = 11
First Counter 368 ns -> Counter Value = 12
First Counter 372 ns -> Counter Value = 13
First Counter 376 ns -> Counter Value = 14
First Counter 380 ns -> Counter Value = 15
First Counter 384 ns -> Counter Value = 0
First Counter 388 ns -> Counter Value = 1
First Counter 392 ns -> Counter Value = 2
First Counter 396 ns -> Counter Value = 3
First Counter 400 ns -> Counter Value = 4
First Counter 404 ns -> Counter Value = 5

Info: (I804) /IEEE_Std_1666/deprecated: You can turn off warnings about
             IEEE 1666 deprecated features by placing this method call
             as the first statement in your sc_main() function:

  sc_core::sc_report_handler::set_actions( "/IEEE_Std_1666/deprecated",
                                           sc_core::SC_DO_NOTHING );

INFO: [SIM 1] CSim done with 0 errors.
INFO: [SIM 3] *************** CSIM finish ***************
